codigo_cuenta,monto_argos
5B0005,-1294820.0
6AA001,1076024.0
6AA004,110372.0
6AA006,3131386.0
6AB001,540404.0
6AB002,276070.0
6AC001,-507151.0
6AD001,645678.0
6AD002,4863652.0
6AD006,-60000.0
6AG002,-40460.0
6AH003,-1492530.0
6AI001,-3667418.0
6AI002,305252.0
6AI003,306540.0
6AJ007,104680.0
6AK001,3242436.0
6AK002,648486.0
6AL001,393412.0
6AL003,-1599666.0
6AM015,7582830.0
6AN003,-147450.0
6AZ003,810608.0
6AZ004,470438.0
6BF001,-1231078.0
6BF002,153630.0
6BF006,1560000.0
