N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
720,Disponible,No,Teléfono,Teléfono Celular,LEO-600,Casa Central,Electrónica,Telemática,,Uso general ,Sin Uso,NOKIA,6131,0534190HN30Di,2007-10-08 00:00:00,-,,LEO-0600
721,Disponible,No,Teléfono,Teléfono Celular,LEO-601,Casa Central,Electrónica,Telemática,,Uso general ,Sin Uso,SONY-ERICSSON,K510i,BD302JTSWE,2007-10-08 00:00:00,-,,LEO-0601
722,Disponible,No,Teléfono,Teléfono Celular,LEO-602,Casa Central,Electrónica,Telemática,,Uso general ,Sin Uso,SONY-ERICSSON,K510i,BD302FZPKS,2007-10-08 00:00:00,-,,LEO-0602
723,No Disponible,No,Variac,Variac trifásico,LEO-603,Casa Central,Electrónica,-,,Uso general ,-,CARROL AND MEYNELL LTDA,CMV 20E-3,483/052007,2007-10-11 00:00:00,-,,LEO-0603
724,Disponible,No,Pendón,Pendones con bolsa de raquelado 600,LEO-604,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,-,-,-,2007-10-23 00:00:00,-,,LEO-0604
725,Disponible,No,Pendón,Pendones con bolsa de raquelado 601,LEO-605,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,-,-,-,2007-10-23 00:00:00,-,,LEO-0605
726,Disponible,No,Pendón,Pendones con bolsa de raquelado 602,LEO-606,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,-,-,-,2007-10-23 00:00:00,-,,LEO-0606
727,Disponible,No,Pendón,Pendones con bolsa de raquelado 603,LEO-607,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,-,-,-,2007-10-23 00:00:00,-,,LEO-0607
728,Disponible,No,Pendón,Pendones con bolsa de raquelado 604,LEO-608,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,-,-,-,2007-10-30 00:00:00,-,,LEO-0608
729,Disponible,No,Módulo Sensor de Color,Zx Color,LEO-609,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Inex,-,-,2007-11-06 00:00:00,-,,LEO-0609
730,Disponible,Sí,Extensión Eléctrica,Extensión eléctrica 20 metros (amarilla),LEO-610,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Kobalt,RI-02,-,2007-11-13 00:00:00,-,,LEO-0610
731,Disponible,Sí,Extensión Eléctrica,Extensión eléctrica 20 metros (amarilla),LEO-611,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Kobalt,RI-02,-,2007-11-13 00:00:00,-,,LEO-0611
732,Disponible,No,Notebook,Notebook,LEO-612,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,DELL,PP28L,NM508a00,2008-01-14 00:00:00,-,,LEO-0612
733,No Disponible,No,Pantalla,"Pantalla LCD 15""",LEO-613,Casa Central,Electrónica,-,,Uso general ,-,LG,FLATRON  L1553S,706NDYGFQ794,2008-01-15 00:00:00,-,,LEO-0613
734,No Disponible,No,Pantalla,"Pantalla LCD 15""",LEO-614,Casa Central,Electrónica,-,,Uso general ,-,LG,FLATRON  L1553S,706NDDMFQ802,2008-01-15 00:00:00,-,,LEO-0614
735,No Disponible,No,Pantalla,"Pantalla LCD 15""",LEO-615,Casa Central,Electrónica,-,,Uso general ,-,LG,FLATRON  L1553S, 706NDXQFQ858,2008-01-15 00:00:00,-,,LEO-0615
736,Disponible,Sí,Analizador,Analizador de espectro 9Khz-3Ghz,LEO-616,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,ROHDE & SCHWARZ,FS300,103170,2008-07-28 00:00:00,-,,LEO-0616
737,Disponible,No,Contador,Counterdown Timer,LEO-617,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Casio,TMR-71,10-8262-9497-9479-3794,2008-08-20 00:00:00,-,,LEO-0617
738,Disponible,No,Contador,Counterdown Timer,LEO-618,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Casio,TMR-71,10-4299-2866-5299-2381,2008-08-20 00:00:00,-,,LEO-0618
739,Prestado,Sí,Fuente de Poder,Fuente de poder doble,LEO-619,Casa Central,Electrónica,Alumno Carlos Rousser,,Uso general ,Operativo,Gwinstek,GPS-3303,EI842910,2008-09-23 00:00:00,-,,LEO-0619
740,Disponible,No,Adaptador Serie a Inalámbrico,Adaptador serial - inalámbrico,LEO-620,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DPACTEChnologies,Airbornedirect serial,5376A-ABDSE,2008-09-23 00:00:00,-,,LEO-0620
741,Prestado,Sí,Router,Router inalámbrico,LEO-621,Casa Central,Electrónica,Profesor Mauricio Rodriguez,,Uso general ,Operativo,Linksys,Wrt54gl,Cl7b1f621819,2008-09-30 00:00:00,-,,LEO-0621
742,Disponible,No,Router,Router inalámbrico,LEO-622,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Linksys,Wrt54gl,Cl7b1f619730,2008-09-30 00:00:00,-,,LEO-0622
743,Prestado,Sí,Router,Router inalámbrico,LEO-623,Casa Central,Electrónica,Alumno Felipe Saez,,Uso general ,Operativo,Linksys,Wrt54gl,Cl7b1f619720,2008-09-30 00:00:00,-,,LEO-0623
744,Disponible,Sí,Analizador,Analizador de espectro,LEO-624,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Agilent,N1996a,US45310175,2008-10-10 00:00:00,-,,LEO-0624
745,Prestado,Sí,Sonda de Corriente,ac/dc current probe ,LEO-625,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,,,,2009-01-15 00:00:00,-,,LEO-0625
746,Prestado,Sí,Sonda de Corriente,ac/dc current probe ,LEO-626,Casa Central,Electrónica,Profesor Samir Kouro,,Uso general ,Operativo,,,,2009-01-15 00:00:00,-,,LEO-0626
747,Disponible,Sí,Osciloscopio,Osciloscopio digital,LEO-627,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Tektronix,DS032,C000360,2009-01-19 00:00:00,010000025036,,LEO-0627
748,Disponible,No,Tarjeta de desarrollo,DSP 320,LEO-628,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,Texas Instruments,DSP 6711,TMS 320C6711 DSK,2009-03-11 00:00:00,,,LEO-0628
749,Disponible,No,Cámara,Cámara PC,LEO-629,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002684,2009-03-16 00:00:00,-,,LEO-0629
750,Disponible,No,Cámara,Cámara PC,LEO-630,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002660,2009-03-16 00:00:00,-,,LEO-0630
751,Disponible,No,Cámara,Cámara PC,LEO-631,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002410,2009-03-16 00:00:00,-,,LEO-0631
752,Disponible,No,Cámara,Cámara PC,LEO-632,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002698,2009-03-16 00:00:00,-,,LEO-0632
753,Disponible,No,Cámara,Cámara PC,LEO-633,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002689,2009-03-16 00:00:00,-,,LEO-0633
754,Disponible,No,Cámara,Cámara PC,LEO-634,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002692,2009-03-16 00:00:00,-,,LEO-0634
755,Disponible,No,Cámara,Cámara PC,LEO-635,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002409,2009-03-16 00:00:00,-,,LEO-0635
756,Disponible,No,Cámara,Cámara PC,LEO-636,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,D-Link,Dsb-C320,PE0416B002416,2009-03-16 00:00:00,-,,LEO-0636
757,Disponible,No,Teléfono,Teléfono Celular,LEO-637,Casa Central,Electrónica,Telemática,,Uso general ,Sin Uso,NOKIA,N78-3,0566010GP04R10,2009-03-16 00:00:00,-,,LEO-0637
758,Disponible,Sí,Teléfono,Teléfono Celular,LEO-638,Casa Central,Electrónica,Profesor Werner Creixell,,Uso general ,Operativo,NOKIA,N78-4,0566010GP04R1N,2009-03-16 00:00:00,-,,LEO-0638
759,Disponible,No,Teléfono,Teléfono Celular,LEO-639,Casa Central,Electrónica,Telemática,,Uso general ,Sin Uso,NOKIA,N78-3,0566010GP04R10,2009-03-16 00:00:00,-,,LEO-0639
760,Disponible,No,Cámara,Cámara Network,LEO-640,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F44,2009-03-16 00:00:00,-,,LEO-0640
761,Disponible,No,Cámara,Cámara Network,LEO-641,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F3A,2009-03-16 00:00:00,-,,LEO-0641
762,Disponible,No,Cámara,Cámara Network,LEO-642,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F38,2009-03-16 00:00:00,-,,LEO-0642
763,Disponible,No,Cámara,Cámara Network,LEO-643,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F3B,2009-03-16 00:00:00,-,,LEO-0643
764,Disponible,No,Cámara,Cámara Network,LEO-644,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F40,2009-03-16 00:00:00,-,,LEO-0644
765,Disponible,No,Cámara,Cámara Network,LEO-645,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,AXIS COMMUNICATIONS,AXIS 211W,00408C942F36,2009-03-16 00:00:00,-,,LEO-0645
766,Disponible,Sí,Osciloscopio,Digital storage oscilloscope,LEO-646,Casa Central,Electrónica,Sala B 317,,Uso general ,Operativo,Agilent Technologies,DSO6014A,MY48260325,2009-05-18 00:00:00,-,,LEO-0646
767,No Disponible,No,Sonda Diferencial,Diferencial Voltage Probe,LEO-647,Casa Central,Electrónica,-,,Uso general ,-,PINTEK,DP-25,20080230,2009-05-29 00:00:00,-,,LEO-0647
768,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-648,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0648
769,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-649,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0649
770,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-650,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0650
771,Prestado,Sí,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-651,Casa Central,Electrónica,Profesor Daniel Rodriguez,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0651
772,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-652,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0652
773,No Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-653,Casa Central,Electrónica,-,,Uso general ,-,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0653
774,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-654,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0654
775,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-655,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0655
776,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-656,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL-232cab RS-232 cable,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0656
777,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-657,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-GSM-CAB,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0657
778,Disponible,No,"PLC ""Cable RS232""",Controlador de aplicación simple,LEO-658,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-GSM-CAB,sin numero de serie,2009-06-04 00:00:00,-,,LEO-0658
779,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-659,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,210824,2009-06-04 00:00:00,-,,LEO-0659
780,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-660,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,210825,2009-06-04 00:00:00,-,,LEO-0660
781,Prestado,Sí,Fuente de Poder,DC Power Suply,LEO-661,Casa Central,Electrónica,Profesor Daniel Rodriguez,,Uso general ,Operativo,MASTECH,HY3002,203997,2009-06-04 00:00:00,-,,LEO-0661
782,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-662,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,204000,2009-06-04 00:00:00,-,,LEO-0662
783,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-663,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,218545,2009-06-04 00:00:00,-,,LEO-0663
784,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-664,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,210830,2009-06-04 00:00:00,-,,LEO-0664
785,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-665,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,210826,2009-06-04 00:00:00,-,,LEO-0665
786,Prestado,Sí,Fuente de Poder,DC Power Suply,LEO-666,Casa Central,Electrónica,Sala B 317,,Uso general ,Operativo,MASTECH,HY3002,203992,2009-06-04 00:00:00,-,,LEO-0666
787,Disponible,Sí,Fuente de Poder,DC Power Suply,LEO-667,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MASTECH,HY3002,210823,2009-06-04 00:00:00,-,,LEO-0667
788,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-668,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,827663,2009-06-08 00:00:00,-,,LEO-0668
789,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-669,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,827683,2009-06-08 00:00:00,-,,LEO-0669
790,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-670,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,827684,2009-06-08 00:00:00,-,,LEO-0670
791,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-671,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,827685,2009-06-08 00:00:00,-,,LEO-0671
792,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-672,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,827677,2009-06-08 00:00:00,-,,LEO-0672
793,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-673,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,766005,2009-06-08 00:00:00,-,,LEO-0673
794,Disponible,No,"PLC ""Módulo Análogo""",Controlador de aplicación simple,LEO-674,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-2DA,755757,2009-06-08 00:00:00,-,,LEO-0674
795,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-675,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-24,RA82081634,2009-06-08 00:00:00,-,,LEO-0675
796,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-676,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-24,RA82081619,2009-06-08 00:00:00,-,,LEO-0676
797,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-677,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-25,RA83269905,2009-06-08 00:00:00,-,,LEO-0677
798,Prestado,Sí,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-678,Casa Central,Electrónica,Profesor Daniel Rodriguez,,Uso general ,Operativo,MEAN WELL,DR-30-26,RA83269899,2009-06-08 00:00:00,-,,LEO-0678
799,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-679,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-27,RA83269888,2009-06-08 00:00:00,-,,LEO-0679
800,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-680,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-28,RA68164529,2009-06-08 00:00:00,-,,LEO-0680
801,No Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-681,Casa Central,Electrónica,-,,Uso general ,-,MEAN WELL,DR-30-29,RA64325516,2009-06-08 00:00:00,-,,LEO-0681
802,Disponible,No,"PLC ""Fuente de Poder""",Fuentes de poder,LEO-682,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MEAN WELL,DR-30-24,RA83269921,2009-06-08 00:00:00,-,,LEO-0682
803,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-683,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3689,2009-06-08 00:00:00,-,,LEO-0683
804,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-684,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3819,2009-06-08 00:00:00,-,,LEO-0684
805,Prestado,Sí,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-685,Casa Central,Electrónica,Profesor Daniel Rodriguez,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3693,2009-06-08 00:00:00,-,,LEO-0685
806,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-686,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3823,2009-06-08 00:00:00,-,,LEO-0686
807,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-687,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3685,2009-06-08 00:00:00,-,,LEO-0687
808,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-688,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3798,2009-06-08 00:00:00,-,,LEO-0688
809,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-689,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3687,2009-06-08 00:00:00,-,,LEO-0689
810,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-690,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3815,2009-06-08 00:00:00,-,,LEO-0690
811,Disponible,No,"PLC ""Módulo Compacto""",Controlador serie alfa2,LEO-691,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,MITSUBISHI,AL2-14MR-D,6Y3692,2009-06-08 00:00:00,-,,LEO-0691
812,No Disponible,No,Fuente de Poder,Fuente de Poder,LEO-691,Casa Central,Electrónica,-,,Uso general ,-,MASTECH,HY 3003D-3,-,-,-,,LEO-0691
813,Disponible,Sí,Generador,PSG analog signal generator,LEO-692,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Agilent,E8257D,MY49060286,2009-06-24 00:00:00,-,,LEO-0692
814,Disponible,Sí,Carro Transporte,Carro manual para transporte,LEO-693,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Cingell,BT-HT 90,I-3544,2009-07-13 00:00:00,-,,LEO-0693
815,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-694,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0694
816,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-695,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0695
817,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-696,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0696
818,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-697,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0697
819,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-698,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0698
820,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-699,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0699
821,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-700,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0700
822,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-701,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0701
823,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-702,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0702
824,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-703,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0703
825,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-704,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0704
826,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-705,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0705
827,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-706,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0706
828,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-707,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0707
829,Disponible,No,Adaptador-MSP-JTAG-tiny,MSP-JTAG-tiny,LEO-708,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,OLIMEX,-,MSP430-JYAG-TINY,2009-09-21 00:00:00,-,,LEO-0708
830,Prestado,Sí,Notebook,Notebook,LEO-709,Casa Central,Electrónica,Profesor Héctor Carrasco,,Uso general ,Operativo,COMPAQ,COMPAQ 610,CNU9261MXX,2009-09-24 00:00:00,-,,LEO-0709
831,Prestado,Sí,Inversor,Inversor de onda senoidal,LEO-710,Casa Central,Electrónica,Profesor Mauricio Rodriguez,,Uso general ,Operativo,MASCOT,2386,8499049,2009-10-08 00:00:00,-,,LEO-0710
832,Prestado,Sí,Osciloscopio,Osciloscopio 100 MHz,LEO-711,Casa Central,Electrónica,Alumno Sebastian Zapata,,Uso general ,Operativo,Agilent,DSO1012A,CN49231490,2009-10-15 00:00:00,010000017629,,LEO-0711
833,Disponible,Sí,Osciloscopio,Osciloscopio 100 MHz,LEO-712,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Agilent,DSO1012A,CN49231550,2009-10-15 00:00:00,-,,LEO-0712
834,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-713,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216741,2009-10-27 00:00:00,-,,LEO-0713
835,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-714,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216733,2009-10-27 00:00:00,-,,LEO-0714
836,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-715,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216744,2009-10-27 00:00:00,-,,LEO-0715
837,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-716,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216740,2009-10-27 00:00:00,-,,LEO-0716
838,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-717,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216735,2009-10-27 00:00:00,-,,LEO-0717
839,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-718,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216712,2009-10-27 00:00:00,-,,LEO-0718
840,Disponible,No,Tarjeta de desarrollo,Tarjeta FPGA,LEO-719,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,DIGILENT,Spartan-3,D216731,2009-10-27 00:00:00,-,,LEO-0719
