N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
393,Prestado,Sí,Sonda de Corriente,Tenaza probadora de corriente,LEO-280,Casa Central,Electrónica,Profesor Christian Rojas,,Uso general ,Operativo,LEM,PR30,-,2001-10-18 00:00:00,-,,LEO-0280
394,Prestado,Sí,Sonda de Corriente,Tenaza probadora de corriente,LEO-281,Casa Central,Electrónica,Profesor Christian Rojas,,Uso general ,Operativo,LEM,PR30,-,2001-10-18 00:00:00,-,,LEO-0281
395,Prestado,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-282,Casa Central,Electrónica,Profesor Marcelo Perez,,Uso general ,Operativo,AEMC instruments,DP-25,03G22459,2001-10-18 00:00:00,-,,LEO-0282
396,Prestado,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-283,Casa Central,Electrónica,Profesor Jorge Pontt,,Uso general ,Operativo,AEMC instruments,DP-25,03G22384,2001-10-18 00:00:00,-,,LEO-0283
397,Disponible,No,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-284,Casa Central,Electrónica,Sala B 356,,Uso general ,Inoperativo,AEMC instruments,DP-25,03G22476,2001-10-18 00:00:00,-,,LEO-0284
398,Prestado,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-285,Casa Central,Electrónica,Profesor Christian Rojas,,Uso general ,Operativo,AEMC instruments,DP-25,03G22455,2001-10-18 00:00:00,-,,LEO-0285
399,Disponible,No,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-286,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,DP-25,03G22382,2001-10-18 00:00:00,-,,LEO-0286
400,No Disponible,No,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-287,Casa Central,Electrónica,-,,Uso general ,-,AEMC instruments,DP-25,03G22309,2001-10-18 00:00:00,-,,LEO-0287
401,Disponible,Sí,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-288,Casa Central,Electrónica,Alumno Carlos Rousser,,Uso general ,Operativo,AEMC instruments,DP-25,03G22329,2001-10-18 00:00:00,-,,LEO-0288
402,Disponible,No,Sonda Diferencial,Punta de prueba diferencial 25 MHz,LEO-289,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,AEMC instruments,DP-25,03G22451,2001-10-18 00:00:00,-,,LEO-0289
403,Disponible,Sí,Analizador,Analizador de calidad de potencia,LEO-290,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,FLUKE,43R,DM7680024,2001-10-18 00:00:00,-,,LEO-0290
404,Prestado,Sí,Sonda de Corriente,Punta de prueba de corriente,LEO-291,Casa Central,Electrónica,Profesor Pablo Lezana,,Uso general ,Operativo,Tektronix,A6303,-,2001-10-18 00:00:00,-,,LEO-0291
405,Prestado,Sí,Sonda de Corriente,Punta de prueba de corriente,LEO-292,Casa Central,Electrónica,Profesor Pablo Lezana,,Uso general ,Operativo,Tektronix,A6303,-,2001-10-18 00:00:00,-,,LEO-0292
406,Disponible,Sí,Fuente de Poder,Fuente de poder dual con tracking más 5V fijos,LEO-293,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Gwinstek,GPC-3030,9641017,2001-10-18 00:00:00,-,,LEO-0293
407,Disponible,Sí,Fuente de Poder,Fuente de poder dual con tracking más 5V fijos,LEO-294,Casa Central,Electrónica,Sala B 028,,Personal de Taller,Operativo,Gwinstek,GPC-3030,9681932,-,-,,LEO-0294
408,Prestado,Sí,Amplificador Punta de Prueba,Amplificador para punta de prueba de corriente,LEO-295,Casa Central,Electrónica,Profesor Pablo Lezana,,Uso general ,Operativo,Tektronix,TM502 + TM503,B032791,2001-10-18 00:00:00,-,,LEO-0295
409,Disponible,Sí,Amplificador Punta de Prueba,Amplificador para punta de prueba de corriente,LEO-296,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,Tektronix,TM502 + TM503,B046074,2001-10-18 00:00:00,-,,LEO-0296
410,Disponible,No,Sonda de Corriente,Medidor de corriente LEM,LEO-297,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,USM,-,-,2001-10-18 00:00:00,,,LEO-0297
411,Disponible,No,Generador,Generador de señal de RF programable,LEO-298,Casa Central,Electrónica,Sala B 356,,Uso general ,Operativo,NOVA,NS2-2000-100,21329,2001-11-22 00:00:00,-,,LEO-0298
